datetime,temp,hum,rad,wd,ws,rain,maxws,bv
2024-01-22 00:00:00,1.18,80.66,0.0,243,0.63,0,1.8,12.89
2024-01-22 00:01:00,1.18,80.83,0.0,188,0.195,0,0.9,12.89
2024-01-22 00:02:00,1.16,80.35,0.0,48,0.24,0,0.9,12.89
2024-01-22 00:03:00,1.19,80.83,0.0,177,0.135,0,0.9,12.89
2024-01-22 00:04:00,1.21,80.54,0.0,181,0.255,0,0.9,12.89
2024-01-22 00:05:00,1.18,80.62,0.0,188,0.12,0,0.9,12.89
2024-01-22 00:06:00,1.21,80.65,0.0,178,0.345,0,1.8,12.89
2024-01-22 00:07:00,1.21,80.53,0.0,125,0.195,0,0.9,12.89
2024-01-22 00:08:00,1.19,80.37,0.0,163,0.12,0,0.9,12.89
2024-01-22 00:09:00,1.19,80.36,0.0,170,0.165,0,0.9,12.89
2024-01-22 00:10:00,1.18,80.52,0.0,177,0.045,0,0.9,12.89
2024-01-22 00:11:00,1.19,81.01,0.0,174,0.015,0,0.9,12.89
2024-01-22 00:12:00,1.19,80.79,0.0,179,0.0,0,0.0,12.89
2024-01-22 00:13:00,1.19,81.05,0.0,220,0.135,0,0.9,12.89
2024-01-22 00:14:00,1.22,81.21,0.0,200,0.03,0,0.9,12.89
2024-01-22 00:15:00,1.25,81.08,0.0,159,0.225,0,0.9,12.89
2024-01-22 00:16:00,1.25,80.73,0.0,148,0.195,0,1.8,12.89
2024-01-22 00:17:00,1.23,80.08,0.0,253,0.675,0,1.8,12.89
2024-01-22 00:18:00,1.25,79.75,0.0,330,0.87,0,1.8,12.89
2024-01-22 00:19:00,1.25,78.94,0.0,283,0.93,0,1.8,12.89
2024-01-22 00:20:00,1.22,78.58,0.0,257,1.335,0,2.7,12.89
2024-01-22 00:21:00,1.21,79.28,0.0,256,0.42,0,0.9,12.89
2024-01-22 00:22:00,1.21,79.1,0.0,189,0.66,0,1.8,12.89
2024-01-22 00:23:00,1.19,78.91,0.0,159,0.66,0,1.8,12.89
