date,tavg,tmin,tmax,trange,DIF,rain,rad,sunrise,sunset,suntime
20231001,20.6,14.79,28.24,13.4,5.9,0.0,3.3,06:26:00,18:16:00,11:50:00
20231001,20.6,14.79,28.24,13.4,5.9,0.0,3.3,06:26:00,18:16:00,11:50:00
20231002,19.4,12.79,28.54,15.8,7.7,0.0,3.3,06:26:00,18:14:00,11:48:00
20231002,19.4,12.79,28.54,15.8,7.7,0.0,3.3,06:26:00,18:14:00,11:48:00
20231003,17.8,13.9,23.57,9.7,4.7,0.0,1.0,06:27:00,18:13:00,11:46:00
20231003,17.8,13.9,23.57,9.7,4.7,0.0,1.0,06:27:00,18:13:00,11:46:00
20231004,19.8,12.85,28.38,15.5,6.3,0.0,2.9,06:28:00,18:11:00,11:43:00
20231004,19.8,12.85,28.38,15.5,6.3,0.0,2.9,06:28:00,18:11:00,11:43:00
20231005,17.8,13.07,24.8,11.7,4.0,0.0,3.2,06:29:00,18:10:00,11:41:00
20231005,17.8,13.07,24.8,11.7,4.0,0.0,3.2,06:29:00,18:10:00,11:41:00
20231006,17.3,11.88,25.42,13.5,5.7,0.0,2.7,06:30:00,18:08:00,11:38:00
20231006,17.3,11.88,25.42,13.5,5.7,0.0,2.7,06:30:00,18:08:00,11:38:00
20231007,18.0,12.78,24.15,11.4,4.2,0.0,1.8,06:30:00,18:07:00,11:37:00
20231007,18.0,12.78,24.15,11.4,4.2,0.0,1.8,06:30:00,18:07:00,11:37:00
20231008,19.0,15.45,24.32,8.9,3.2,0.0,1.4,06:31:00,18:06:00,11:35:00
20231008,19.0,15.45,24.32,8.9,3.2,0.0,1.4,06:31:00,18:06:00,11:35:00
20231009,19.3,15.11,26.07,11.0,5.0,0.0,2.0,06:32:00,18:04:00,11:32:00
20231009,19.3,15.11,26.07,11.0,5.0,0.0,2.0,06:32:00,18:04:00,11:32:00
20231010,18.7,13.81,25.89,12.1,5.4,0.0,2.6,06:33:00,18:03:00,11:30:00
20231010,18.7,13.81,25.89,12.1,5.4,0.0,2.6,06:33:00,18:03:00,11:30:00
20231011,19.3,12.88,29.51,16.6,8.1,0.0,2.9,06:34:00,18:01:00,11:27:00
20231011,19.3,12.88,29.51,16.6,8.1,0.0,2.9,06:34:00,18:01:00,11:27:00
20231012,19.0,12.04,29.24,17.2,7.7,0.0,2.7,06:35:00,18:00:00,11:25:00
20231012,19.0,12.04,29.24,17.2,7.7,0.0,2.7,06:35:00,18:00:00,11:25:00
20231013,18.6,14.02,24.97,10.9,5.3,0.0,1.7,06:35:00,17:59:00,11:24:00
20231013,18.6,14.02,24.97,10.9,5.3,0.0,1.7,06:35:00,17:59:00,11:24:00
20231014,17.0,12.93,25.35,12.4,5.0,0.0,1.6,06:36:00,17:57:00,11:21:00
20231014,17.0,12.93,25.35,12.4,5.0,0.0,1.6,06:36:00,17:57:00,11:21:00
20231015,16.9,11.66,24.91,13.2,6.0,0.0,2.1,06:37:00,17:56:00,11:19:00
20231015,16.9,11.66,24.91,13.2,6.0,0.0,2.1,06:37:00,17:56:00,11:19:00
20231016,16.3,10.61,24.16,13.6,6.4,0.0,2.4,06:38:00,17:55:00,11:17:00
20231016,16.3,10.61,24.16,13.6,6.4,0.0,2.4,06:38:00,17:55:00,11:17:00
20231017,15.4,8.37,25.27,16.9,8.0,0.0,2.9,06:39:00,17:53:00,11:14:00
20231017,15.4,8.37,25.27,16.9,8.0,0.0,2.9,06:39:00,17:53:00,11:14:00
20231018,16.9,9.31,28.52,19.2,8.1,0.0,2.7,06:40:00,17:52:00,11:12:00
20231018,16.9,9.31,28.52,19.2,8.1,0.0,2.7,06:40:00,17:52:00,11:12:00
20231019,17.0,13.03,24.42,11.4,4.5,7.62,1.3,06:41:00,17:51:00,11:10:00
20231019,17.0,13.03,24.42,11.4,4.5,7.62,1.3,06:41:00,17:51:00,11:10:00
20231020,14.1,8.74,20.13,11.4,4.3,5.588,2.5,06:42:00,17:50:00,11:08:00
20231020,14.1,8.74,20.13,11.4,4.3,5.588,2.5,06:42:00,17:50:00,11:08:00
20231021,11.9,6.02,20.62,14.6,5.9,1.016,1.9,06:42:00,17:48:00,11:06:00
20231021,11.9,6.02,20.62,14.6,5.9,1.016,1.9,06:42:00,17:48:00,11:06:00
20231022,13.3,6.66,21.12,14.5,6.2,0.0,2.0,06:43:00,17:47:00,11:04:00
20231022,13.3,6.66,21.12,14.5,6.2,0.0,2.0,06:43:00,17:47:00,11:04:00
20231023,15.9,10.11,25.9,15.8,7.1,0.0,2.2,06:44:00,17:46:00,11:02:00
20231023,15.9,10.11,25.9,15.8,7.1,0.0,2.2,06:44:00,17:46:00,11:02:00
20231024,16.5,10.48,25.88,15.4,7.3,0.0,2.4,06:45:00,17:45:00,11:00:00
20231024,16.5,10.48,25.88,15.4,7.3,0.0,2.4,06:45:00,17:45:00,11:00:00
20231025,17.5,11.46,26.19,14.7,6.9,0.0,2.3,06:46:00,17:44:00,10:58:00
20231025,17.5,11.46,26.19,14.7,6.9,0.0,2.3,06:46:00,17:44:00,10:58:00
20231026,18.1,12.51,25.5,13.0,5.0,0.0,1.8,06:47:00,17:42:00,10:55:00
20231026,18.1,12.51,25.5,13.0,5.0,0.0,1.8,06:47:00,17:42:00,10:55:00
20231027,16.9,11.85,23.85,12.0,4.5,0.0,2.2,06:48:00,17:41:00,10:53:00
20231027,16.9,11.85,23.85,12.0,4.5,0.0,2.2,06:48:00,17:41:00,10:53:00
20231028,15.5,10.18,23.88,13.7,6.1,0.0,2.2,06:49:00,17:40:00,10:51:00
20231028,15.5,10.18,23.88,13.7,6.1,0.0,2.2,06:49:00,17:40:00,10:51:00
20231029,16.4,9.91,26.23,16.3,7.4,0.0,2.3,06:50:00,17:39:00,10:49:00
20231029,16.4,9.91,26.23,16.3,7.4,0.0,2.3,06:50:00,17:39:00,10:49:00
20231030,16.5,10.83,25.5,14.7,6.8,0.0,2.2,06:51:00,17:38:00,10:47:00
20231030,16.5,10.83,25.5,14.7,6.8,0.0,2.2,06:51:00,17:38:00,10:47:00
20231031,16.1,9.57,26.73,17.2,6.8,0.0,2.3,06:52:00,17:37:00,10:45:00
20231031,16.1,9.57,26.73,17.2,6.8,0.0,2.3,06:52:00,17:37:00,10:45:00
