date,tavg,tmin,tmax,trange,DIF,rain,rad,sunrise,sunset,suntime
20240401,14.7,5.36,25.64,20.3,8.5,0.0,3.4,06:18:00,18:53:00,12:35:00
20240402,17.1,8.78,25.92,17.1,8.0,3.302,2.5,06:16:00,18:53:00,12:37:00
20240403,14.5,13.0,16.2,3.2,1.2,32.258,0.7,06:15:00,18:54:00,12:39:00
20240404,14.3,11.79,17.61,5.8,2.2,13.462,0.5,06:13:00,18:55:00,12:42:00
