date,tavg,tmin,tmax,trange,DIF,rain,rad,sunrise,sunset,suntime
20231201,1.2,-1.12,5.68,6.8,2.1,0.0,1.1,07:22:00,17:17:00,09:55:00
20231201,1.2,-1.12,5.68,6.8,2.1,0.0,1.1,07:22:00,17:17:00,09:55:00
20231202,4.6,0.54,7.85,7.3,1.8,0.0,0.5,07:23:00,17:17:00,09:54:00
20231202,4.6,0.54,7.85,7.3,1.8,0.0,0.5,07:23:00,17:17:00,09:54:00
20231203,4.9,0.41,11.0,10.6,4.0,0.0,1.7,07:24:00,17:17:00,09:53:00
20231203,4.9,0.41,11.0,10.6,4.0,0.0,1.7,07:24:00,17:17:00,09:53:00
20231204,4.3,-2.01,13.84,15.8,5.6,0.0,1.7,07:25:00,17:17:00,09:52:00
20231204,4.3,-2.01,13.84,15.8,5.6,0.0,1.7,07:25:00,17:17:00,09:52:00
20231205,6.5,-0.07,16.14,16.2,6.3,0.0,1.5,07:26:00,17:17:00,09:51:00
20231205,6.5,-0.07,16.14,16.2,6.3,0.0,1.5,07:26:00,17:17:00,09:51:00
20231206,9.0,3.74,14.07,10.3,4.8,7.366,0.8,07:27:00,17:17:00,09:50:00
20231206,9.0,3.74,14.07,10.3,4.8,7.366,0.8,07:27:00,17:17:00,09:50:00
20231207,8.3,2.83,15.17,12.3,3.5,0.0,1.6,07:27:00,17:17:00,09:50:00
20231207,8.3,2.83,15.17,12.3,3.5,0.0,1.6,07:27:00,17:17:00,09:50:00
20231208,14.0,8.51,21.49,13.0,5.1,0.0,1.5,07:28:00,17:17:00,09:49:00
20231208,14.0,8.51,21.49,13.0,5.1,0.0,1.5,07:28:00,17:17:00,09:49:00
20231209,15.1,11.07,22.68,11.6,5.5,0.0,1.3,07:29:00,17:17:00,09:48:00
20231209,15.1,11.07,22.68,11.6,5.5,0.0,1.3,07:29:00,17:17:00,09:48:00
20231210,14.5,9.49,23.68,14.2,4.0,0.0,1.1,07:30:00,17:17:00,09:47:00
20231210,14.5,9.49,23.68,14.2,4.0,0.0,1.1,07:30:00,17:17:00,09:47:00
20231211,12.7,12.16,14.97,2.8,-0.1,38.354,0.2,07:31:00,17:17:00,09:46:00
20231211,12.7,12.16,14.97,2.8,-0.1,38.354,0.2,07:31:00,17:17:00,09:46:00
20231212,9.5,7.66,12.16,4.5,-0.9,5.588,0.3,07:31:00,17:17:00,09:46:00
20231212,9.5,7.66,12.16,4.5,-0.9,5.588,0.3,07:31:00,17:17:00,09:46:00
20231213,11.4,8.04,16.01,8.0,3.1,0.0,1.2,07:32:00,17:17:00,09:45:00
20231213,11.4,8.04,16.01,8.0,3.1,0.0,1.2,07:32:00,17:17:00,09:45:00
20231214,11.8,11.0,12.75,1.8,0.3,24.892000000000003,0.2,07:33:00,17:18:00,09:45:00
20231214,11.8,11.0,12.75,1.8,0.3,24.892000000000003,0.2,07:33:00,17:18:00,09:45:00
20231215,10.9,6.28,13.71,7.4,0.8,70.866,0.1,07:34:00,17:18:00,09:44:00
20231215,10.9,6.28,13.71,7.4,0.8,70.866,0.1,07:34:00,17:18:00,09:44:00
20231216,0.7,-3.71,6.32,10.0,-0.5,4.064,0.6,07:34:00,17:18:00,09:44:00
20231216,0.7,-3.71,6.32,10.0,-0.5,4.064,0.6,07:34:00,17:18:00,09:44:00
20231217,-4.6,-7.46,-0.05,7.4,2.6,1.778,1.6,07:35:00,17:19:00,09:44:00
20231217,-4.6,-7.46,-0.05,7.4,2.6,1.778,1.6,07:35:00,17:19:00,09:44:00
20231218,-3.1,-7.08,2.1,9.2,2.9,0.0,1.1,07:35:00,17:19:00,09:44:00
20231218,-3.1,-7.08,2.1,9.2,2.9,0.0,1.1,07:35:00,17:19:00,09:44:00
20231219,-0.5,-3.32,1.46,4.8,1.1,0.0,0.5,07:36:00,17:19:00,09:43:00
20231219,-0.5,-3.32,1.46,4.8,1.1,0.0,0.5,07:36:00,17:19:00,09:43:00
20231220,-2.2,-6.3,1.54,7.8,1.0,0.254,0.8,07:37:00,17:20:00,09:43:00
20231220,-2.2,-6.3,1.54,7.8,1.0,0.254,0.8,07:37:00,17:20:00,09:43:00
20231221,-6.1,-8.76,-0.9,7.9,2.2,0.0,1.4,07:37:00,17:20:00,09:43:00
